task_id,M0,rhoh0,FeH,rg,tend,seed,rantala_imbh_seed,chattopadhyay_seed,galpy_potential,M_vir,c_halo
1,10000000.0,416869.3834703355,-1.7,26.25,3000,1,True,False,True,1000000000.0,5
2,10000000.0,416869.3834703355,-1.7,26.25,3000,1,True,False,True,1000000000.0,7
3,10000000.0,416869.3834703355,-1.7,26.25,3000,1,True,False,True,1000000000.0,12
4,10000000.0,416869.3834703355,-1.7,26.25,3000,1,True,False,True,1000000000.0,17
5,10000000.0,416869.3834703355,-1.7,26.25,3000,2,True,False,True,1000000000.0,5
6,10000000.0,416869.3834703355,-1.7,26.25,3000,2,True,False,True,1000000000.0,7
7,10000000.0,416869.3834703355,-1.7,26.25,3000,2,True,False,True,1000000000.0,12
8,10000000.0,416869.3834703355,-1.7,26.25,3000,2,True,False,True,1000000000.0,17
9,10000000.0,416869.3834703355,-1.7,26.25,3000,3,True,False,True,1000000000.0,5
10,10000000.0,416869.3834703355,-1.7,26.25,3000,3,True,False,True,1000000000.0,7
11,10000000.0,416869.3834703355,-1.7,26.25,3000,3,True,False,True,1000000000.0,12
12,10000000.0,416869.3834703355,-1.7,26.25,3000,3,True,False,True,1000000000.0,17
13,10000000.0,416869.3834703355,-1.7,26.25,3000,4,True,False,True,1000000000.0,5
14,10000000.0,416869.3834703355,-1.7,26.25,3000,4,True,False,True,1000000000.0,7
15,10000000.0,416869.3834703355,-1.7,26.25,3000,4,True,False,True,1000000000.0,12
16,10000000.0,416869.3834703355,-1.7,26.25,3000,4,True,False,True,1000000000.0,17
17,10000000.0,416869.3834703355,-1.7,26.25,3000,5,True,False,True,1000000000.0,5
18,10000000.0,416869.3834703355,-1.7,26.25,3000,5,True,False,True,1000000000.0,7
19,10000000.0,416869.3834703355,-1.7,26.25,3000,5,True,False,True,1000000000.0,12
20,10000000.0,416869.3834703355,-1.7,26.25,3000,5,True,False,True,1000000000.0,17
21,10000000.0,416869.3834703355,-1.7,26.25,3000,6,True,False,True,1000000000.0,5
22,10000000.0,416869.3834703355,-1.7,26.25,3000,6,True,False,True,1000000000.0,7
23,10000000.0,416869.3834703355,-1.7,26.25,3000,6,True,False,True,1000000000.0,12
24,10000000.0,416869.3834703355,-1.7,26.25,3000,6,True,False,True,1000000000.0,17
25,10000000.0,416869.3834703355,-1.7,26.25,3000,7,True,False,True,1000000000.0,5
26,10000000.0,416869.3834703355,-1.7,26.25,3000,7,True,False,True,1000000000.0,7
27,10000000.0,416869.3834703355,-1.7,26.25,3000,7,True,False,True,1000000000.0,12
28,10000000.0,416869.3834703355,-1.7,26.25,3000,7,True,False,True,1000000000.0,17
29,10000000.0,416869.3834703355,-1.7,26.25,3000,8,True,False,True,1000000000.0,5
30,10000000.0,416869.3834703355,-1.7,26.25,3000,8,True,False,True,1000000000.0,7
31,10000000.0,416869.3834703355,-1.7,26.25,3000,8,True,False,True,1000000000.0,12
32,10000000.0,416869.3834703355,-1.7,26.25,3000,8,True,False,True,1000000000.0,17
33,10000000.0,416869.3834703355,-1.7,26.25,3000,9,True,False,True,1000000000.0,5
34,10000000.0,416869.3834703355,-1.7,26.25,3000,9,True,False,True,1000000000.0,7
35,10000000.0,416869.3834703355,-1.7,26.25,3000,9,True,False,True,1000000000.0,12
36,10000000.0,416869.3834703355,-1.7,26.25,3000,9,True,False,True,1000000000.0,17
37,10000000.0,416869.3834703355,-1.7,26.25,3000,10,True,False,True,1000000000.0,5
38,10000000.0,416869.3834703355,-1.7,26.25,3000,10,True,False,True,1000000000.0,7
