task_id,M0,rhoh0,FeH,rg,tend,seed,rantala_imbh_seed,chattopadhyay_seed,galpy_potential,M_vir,c_halo,clumps_seed,n_clumps
1,10000000.0,416869.3834703355,-1.7,26.25,3000,1,True,False,True,1000000000.0,7,True,10
2,10000000.0,416869.3834703355,-1.7,26.25,3000,2,True,False,True,1000000000.0,7,True,10
3,10000000.0,416869.3834703355,-1.7,26.25,3000,3,True,False,True,1000000000.0,7,True,10
4,10000000.0,416869.3834703355,-1.7,26.25,3000,4,True,False,True,1000000000.0,7,True,10
5,10000000.0,416869.3834703355,-1.7,26.25,3000,5,True,False,True,1000000000.0,7,True,10
6,10000000.0,416869.3834703355,-1.7,26.25,3000,6,True,False,True,1000000000.0,7,True,10
7,10000000.0,416869.3834703355,-1.7,26.25,3000,7,True,False,True,1000000000.0,7,True,10
8,10000000.0,416869.3834703355,-1.7,26.25,3000,8,True,False,True,1000000000.0,7,True,10
9,10000000.0,416869.3834703355,-1.7,26.25,3000,9,True,False,True,1000000000.0,7,True,10
10,10000000.0,416869.3834703355,-1.7,26.25,3000,10,True,False,True,1000000000.0,7,True,10
11,10000000.0,416869.3834703355,-1.7,26.25,3000,11,True,False,True,1000000000.0,7,True,10
12,10000000.0,416869.3834703355,-1.7,26.25,3000,12,True,False,True,1000000000.0,7,True,10
13,10000000.0,416869.3834703355,-1.7,26.25,3000,13,True,False,True,1000000000.0,7,True,10
14,10000000.0,416869.3834703355,-1.7,26.25,3000,14,True,False,True,1000000000.0,7,True,10
15,10000000.0,416869.3834703355,-1.7,26.25,3000,15,True,False,True,1000000000.0,7,True,10
16,10000000.0,416869.3834703355,-1.7,26.25,3000,16,True,False,True,1000000000.0,7,True,10
17,10000000.0,416869.3834703355,-1.7,26.25,3000,17,True,False,True,1000000000.0,7,True,10
18,10000000.0,416869.3834703355,-1.7,26.25,3000,18,True,False,True,1000000000.0,7,True,10
19,10000000.0,416869.3834703355,-1.7,26.25,3000,19,True,False,True,1000000000.0,7,True,10
20,10000000.0,416869.3834703355,-1.7,26.25,3000,20,True,False,True,1000000000.0,7,True,10
21,10000000.0,416869.3834703355,-1.7,26.25,3000,21,True,False,True,1000000000.0,7,True,10
22,10000000.0,416869.3834703355,-1.7,26.25,3000,22,True,False,True,1000000000.0,7,True,10
23,10000000.0,416869.3834703355,-1.7,26.25,3000,23,True,False,True,1000000000.0,7,True,10
24,10000000.0,416869.3834703355,-1.7,26.25,3000,24,True,False,True,1000000000.0,7,True,10
25,10000000.0,416869.3834703355,-1.7,26.25,3000,25,True,False,True,1000000000.0,7,True,10
26,10000000.0,416869.3834703355,-1.7,26.25,3000,26,True,False,True,1000000000.0,7,True,10
27,10000000.0,416869.3834703355,-1.7,26.25,3000,27,True,False,True,1000000000.0,7,True,10
28,10000000.0,416869.3834703355,-1.7,26.25,3000,28,True,False,True,1000000000.0,7,True,10
