task_id,M0,rhoh0,FeH,rg,tend,seed,rantala_imbh_seed,chattopadhyay_seed,galpy_potential,M_vir,c_halo,clumps_seed,n_clumps
1,10000000.0,416869.3834703355,-1.7,26.25,3000,1,False,False,True,1000000000.0,7,False,15
2,10000000.0,416869.3834703355,-1.7,26.25,3000,2,False,False,True,1000000000.0,7,False,15
3,10000000.0,416869.3834703355,-1.7,26.25,3000,3,False,False,True,1000000000.0,7,False,15
4,10000000.0,416869.3834703355,-1.7,26.25,3000,4,False,False,True,1000000000.0,7,False,15
5,10000000.0,416869.3834703355,-1.7,26.25,3000,5,False,False,True,1000000000.0,7,False,15
6,10000000.0,416869.3834703355,-1.7,26.25,3000,6,False,False,True,1000000000.0,7,False,15
7,10000000.0,416869.3834703355,-1.7,26.25,3000,7,False,False,True,1000000000.0,7,False,15
8,10000000.0,416869.3834703355,-1.7,26.25,3000,8,False,False,True,1000000000.0,7,False,15
9,10000000.0,416869.3834703355,-1.7,26.25,3000,9,False,False,True,1000000000.0,7,False,15
10,10000000.0,416869.3834703355,-1.7,26.25,3000,10,False,False,True,1000000000.0,7,False,15
11,10000000.0,416869.3834703355,-1.7,26.25,3000,11,False,False,True,1000000000.0,7,False,15
12,10000000.0,416869.3834703355,-1.7,26.25,3000,12,False,False,True,1000000000.0,7,False,15
13,10000000.0,416869.3834703355,-1.7,26.25,3000,13,False,False,True,1000000000.0,7,False,15
14,10000000.0,416869.3834703355,-1.7,26.25,3000,14,False,False,True,1000000000.0,7,False,15
15,10000000.0,416869.3834703355,-1.7,26.25,3000,15,False,False,True,1000000000.0,7,False,15
16,10000000.0,416869.3834703355,-1.7,26.25,3000,16,False,False,True,1000000000.0,7,False,15
17,10000000.0,416869.3834703355,-1.7,26.25,3000,17,False,False,True,1000000000.0,7,False,15
18,10000000.0,416869.3834703355,-1.7,26.25,3000,18,False,False,True,1000000000.0,7,False,15
19,10000000.0,416869.3834703355,-1.7,26.25,3000,19,False,False,True,1000000000.0,7,False,15
