task_id,M0,rhoh0,FeH,rg,tend,seed,rantala_imbh_seed,chattopadhyay_seed,galpy_potential,M_vir,c_halo
1,10000000.0,416869.3834703355,-1.7,26.25,3000,1,False,False,False,1000000000.0,5
2,10000000.0,416869.3834703355,-1.7,26.25,3000,1,False,False,False,1000000000.0,7
3,10000000.0,416869.3834703355,-1.7,26.25,3000,1,False,False,False,1000000000.0,9
4,10000000.0,416869.3834703355,-1.7,26.25,3000,1,False,False,False,1000000000.0,12
5,10000000.0,416869.3834703355,-1.7,26.25,3000,1,False,False,False,1000000000.0,17
6,10000000.0,416869.3834703355,-1.7,26.25,3000,2,False,False,False,1000000000.0,5
7,10000000.0,416869.3834703355,-1.7,26.25,3000,2,False,False,False,1000000000.0,7
8,10000000.0,416869.3834703355,-1.7,26.25,3000,2,False,False,False,1000000000.0,9
9,10000000.0,416869.3834703355,-1.7,26.25,3000,2,False,False,False,1000000000.0,12
10,10000000.0,416869.3834703355,-1.7,26.25,3000,2,False,False,False,1000000000.0,17
11,10000000.0,416869.3834703355,-1.7,26.25,3000,3,False,False,False,1000000000.0,5
12,10000000.0,416869.3834703355,-1.7,26.25,3000,3,False,False,False,1000000000.0,7
13,10000000.0,416869.3834703355,-1.7,26.25,3000,3,False,False,False,1000000000.0,9
14,10000000.0,416869.3834703355,-1.7,26.25,3000,3,False,False,False,1000000000.0,12
15,10000000.0,416869.3834703355,-1.7,26.25,3000,3,False,False,False,1000000000.0,17
16,10000000.0,416869.3834703355,-1.7,26.25,3000,4,False,False,False,1000000000.0,5
17,10000000.0,416869.3834703355,-1.7,26.25,3000,4,False,False,False,1000000000.0,7
18,10000000.0,416869.3834703355,-1.7,26.25,3000,4,False,False,False,1000000000.0,9
19,10000000.0,416869.3834703355,-1.7,26.25,3000,4,False,False,False,1000000000.0,12
20,10000000.0,416869.3834703355,-1.7,26.25,3000,4,False,False,False,1000000000.0,17
21,10000000.0,416869.3834703355,-1.7,26.25,3000,5,False,False,False,1000000000.0,5
22,10000000.0,416869.3834703355,-1.7,26.25,3000,5,False,False,False,1000000000.0,7
23,10000000.0,416869.3834703355,-1.7,26.25,3000,5,False,False,False,1000000000.0,9
24,10000000.0,416869.3834703355,-1.7,26.25,3000,5,False,False,False,1000000000.0,12
25,10000000.0,416869.3834703355,-1.7,26.25,3000,5,False,False,False,1000000000.0,17
26,10000000.0,416869.3834703355,-1.7,26.25,3000,6,False,False,False,1000000000.0,5
27,10000000.0,416869.3834703355,-1.7,26.25,3000,6,False,False,False,1000000000.0,7
28,10000000.0,416869.3834703355,-1.7,26.25,3000,6,False,False,False,1000000000.0,9
29,10000000.0,416869.3834703355,-1.7,26.25,3000,6,False,False,False,1000000000.0,12
30,10000000.0,416869.3834703355,-1.7,26.25,3000,6,False,False,False,1000000000.0,17
31,10000000.0,416869.3834703355,-1.7,26.25,3000,7,False,False,False,1000000000.0,5
32,10000000.0,416869.3834703355,-1.7,26.25,3000,7,False,False,False,1000000000.0,7
33,10000000.0,416869.3834703355,-1.7,26.25,3000,7,False,False,False,1000000000.0,9
34,10000000.0,416869.3834703355,-1.7,26.25,3000,7,False,False,False,1000000000.0,12
35,10000000.0,416869.3834703355,-1.7,26.25,3000,7,False,False,False,1000000000.0,17
36,10000000.0,416869.3834703355,-1.7,26.25,3000,8,False,False,False,1000000000.0,5
37,10000000.0,416869.3834703355,-1.7,26.25,3000,8,False,False,False,1000000000.0,7
