task_id,M0,rhoh0,FeH,rg,tend,seed,rantala_imbh_seed,chattopadhyay_seed,galpy_potential,M_vir,c_halo
1,10000000.0,416869.3834703355,-1.7,26.25,3000,1,False,False,False,1000000000.0,7
2,10000000.0,416869.3834703355,-1.7,26.25,3000,2,False,False,False,1000000000.0,7
3,10000000.0,416869.3834703355,-1.7,26.25,3000,3,False,False,False,1000000000.0,7
4,10000000.0,416869.3834703355,-1.7,26.25,3000,4,False,False,False,1000000000.0,7
5,10000000.0,416869.3834703355,-1.7,26.25,3000,5,False,False,False,1000000000.0,7
6,10000000.0,416869.3834703355,-1.7,26.25,3000,6,False,False,False,1000000000.0,7
7,10000000.0,416869.3834703355,-1.7,26.25,3000,7,False,False,False,1000000000.0,7
8,10000000.0,416869.3834703355,-1.7,26.25,3000,8,False,False,False,1000000000.0,7
9,10000000.0,416869.3834703355,-1.7,26.25,3000,9,False,False,False,1000000000.0,7
10,10000000.0,416869.3834703355,-1.7,26.25,3000,10,False,False,False,1000000000.0,7
11,10000000.0,416869.3834703355,-1.7,26.25,3000,11,False,False,False,1000000000.0,7
12,10000000.0,416869.3834703355,-1.7,26.25,3000,12,False,False,False,1000000000.0,7
13,10000000.0,416869.3834703355,-1.7,26.25,3000,13,False,False,False,1000000000.0,7
14,10000000.0,416869.3834703355,-1.7,26.25,3000,14,False,False,False,1000000000.0,7
15,10000000.0,416869.3834703355,-1.7,26.25,3000,15,False,False,False,1000000000.0,7
16,10000000.0,416869.3834703355,-1.7,26.25,3000,16,False,False,False,1000000000.0,7
17,10000000.0,416869.3834703355,-1.7,26.25,3000,17,False,False,False,1000000000.0,7
18,10000000.0,416869.3834703355,-1.7,26.25,3000,18,False,False,False,1000000000.0,7
19,10000000.0,416869.3834703355,-1.7,26.25,3000,19,False,False,False,1000000000.0,7
20,10000000.0,416869.3834703355,-1.7,26.25,3000,20,False,False,False,1000000000.0,7
21,10000000.0,416869.3834703355,-1.7,26.25,3000,21,False,False,False,1000000000.0,7
22,10000000.0,416869.3834703355,-1.7,26.25,3000,22,False,False,False,1000000000.0,7
23,10000000.0,416869.3834703355,-1.7,26.25,3000,23,False,False,False,1000000000.0,7
24,10000000.0,416869.3834703355,-1.7,26.25,3000,24,False,False,False,1000000000.0,7
25,10000000.0,416869.3834703355,-1.7,26.25,3000,25,False,False,False,1000000000.0,7
26,10000000.0,416869.3834703355,-1.7,26.25,3000,26,False,False,False,1000000000.0,7
27,10000000.0,416869.3834703355,-1.7,26.25,3000,27,False,False,False,1000000000.0,7
28,10000000.0,416869.3834703355,-1.7,26.25,3000,28,False,False,False,1000000000.0,7
29,10000000.0,416869.3834703355,-1.7,26.25,3000,29,False,False,False,1000000000.0,7
30,10000000.0,416869.3834703355,-1.7,26.25,3000,30,False,False,False,1000000000.0,7
31,10000000.0,416869.3834703355,-1.7,26.25,3000,31,False,False,False,1000000000.0,7
32,10000000.0,416869.3834703355,-1.7,26.25,3000,32,False,False,False,1000000000.0,7
33,10000000.0,416869.3834703355,-1.7,26.25,3000,33,False,False,False,1000000000.0,7
34,10000000.0,416869.3834703355,-1.7,26.25,3000,34,False,False,False,1000000000.0,7
35,10000000.0,416869.3834703355,-1.7,26.25,3000,35,False,False,False,1000000000.0,7
36,10000000.0,416869.3834703355,-1.7,26.25,3000,36,False,False,False,1000000000.0,7
37,10000000.0,416869.3834703355,-1.7,26.25,3000,37,False,False,False,1000000000.0,7
38,10000000.0,416869.3834703355,-1.7,26.25,3000,38,False,False,False,1000000000.0,7
39,10000000.0,416869.3834703355,-1.7,26.25,3000,39,False,False,False,1000000000.0,7
40,10000000.0,416869.3834703355,-1.7,26.25,3000,40,False,False,False,1000000000.0,7
41,10000000.0,416869.3834703355,-1.7,26.25,3000,41,False,False,False,1000000000.0,7
42,10000000.0,416869.3834703355,-1.7,26.25,3000,42,False,False,False,1000000000.0,7
43,10000000.0,416869.3834703355,-1.7,26.25,3000,43,False,False,False,1000000000.0,7
44,10000000.0,416869.3834703355,-1.7,26.25,3000,44,False,False,False,1000000000.0,7
45,10000000.0,416869.3834703355,-1.7,26.25,3000,45,False,False,False,1000000000.0,7
